user_id,name,email,phone,signup_date,city_id,device_type,preferred_payment_mode,wallet_balance,referral_code,referred_by_user_id,rating,is_active,total_rides,last_ride_date
USR000069,Ria Bir,riabir2001@icloud.com,9058147700,2023-04-01,JAI,Android,Wallet,117.05,REF7995OU,USR000033,4.28,0,7,2025-01-22
USR000070,Turvi Barman,turvi_barman71@icloud.com,9782071518,2022-01-20,JAI,iOS,Cash,84.72,REF5411NM,,4.44,1,7,2025-07-23
USR000071,Januja Pradhan,,9051518644,2023-09-20,MUM,Android,Cash,108.71,REF2037CH,,4.77,1,5,2024-08-09
USR000072,Inaya Mukherjee,inayamukherjee91@icloud.com,4865281685,2022-04-06,MUM,iOS,UPI,312.49,REF9251LQ,,4.04,1,4,2023-02-15
USR000073,Rehaan Kara,rehaan_kara2005@outlook.com,1888059296,2022-05-15,AMD,Android,Wallet,190.53,REF0542NV,USR000066,4.6,1,8,2023-02-18
USR000074,Caleb Roy,calebroy49@yahoo.com,4738347359,2022-08-03,CHN,iOS,Credit Card,103.85,REF2229ZK,,3.47,1,3,2025-04-20
USR000075,Neel Iyengar,neeliyengar1992@wipro.com,5818141247,2022-05-05,LKO,iOS,Credit Card,411.25,REF7746GH,,4.41,0,9,2024-08-23
USR000076,Avi Sachdeva,avi_sachdeva13@gmail.com,3615305152,2023-10-12,DEL,Android,Cash,123.59,REF8261OC,,5.0,1,7,2024-09-15
USR000077,Saumya Ahluwalia,saumyaahluwalia1990@tcs.com,2898614341,2023-04-20,BLR,Android,Wallet,215.51,REF2047SI,,3.49,1,6,2024-10-13
USR000078,Xalak Wason,xalak.wason2000@gmail.com,2460953962,2022-10-11,AMD,Android,Cash,198.84,REF0369DE,USR000037,5.0,1,4,2024-01-19
USR000079,Madhavi Singhal,madhavi.singhal32@infosys.com,0515319520,2024-11-22,CHN,Android,UPI,370.2,REF1851HI,,4.13,1,6,2025-01-18
USR000080,Varenya Gopal,varenyagopal19@wipro.com,4303054868,2022-01-04,BLR,Android,UPI,154.91,REF5852XR,,4.6,1,10,2024-02-26
USR000081,Garima Mahajan,garimamahajan39@hdfcbank.com,7652775841,2022-06-07,DEL,iOS,Debit Card,29.93,REF7403SW,,3.99,0,7,2023-04-26
USR000082,Ekani Chauhan,ekanichauhan38@gmail.com,7962757059,2025-09-28,CHN,Android,Wallet,421.79,REF6169LI,,4.26,1,8,2025-11-21
USR000083,Januja Varghese,januja_varghese30@yahoo.com,7021355690,2024-09-10,KOL,iOS,UPI,208.26,REF6401QO,,4.51,1,12,2024-10-30
USR000084,Laksh Wagle,laksh.wagle1991@gmail.com,3102786814,2024-06-25,CHN,Android,UPI,155.95,REF9275XC,,4.35,0,12,2026-04-17
USR000085,Ryan Das,ryan.das33@hdfcbank.com,7155188442,2022-08-28,PUNE,iOS,Credit Card,91.06,REF4739SS,USR000070,4.51,1,5,2024-09-15
USR000086,Warjas Tak,warjastak47@gmail.com,5782911467,2025-07-06,MUM,iOS,UPI,16.84,REF2583HM,USR000029,4.34,1,7,2026-06-17
USR000087,Ethan Sengupta,ethansengupta@infosys.com,8922680182,2021-09-11,AMD,iOS,Debit Card,276.43,REF8669EI,,3.63,1,14,2026-04-22
USR000088,Zilmil Mander,zilmil_mander@gmail.com,4249818299,2024-02-24,PUNE,Android,UPI,59.18,REF4225TO,,4.28,1,2,2025-06-13
USR000089,Ayush Bumb,ayushbumb90@infosys.com,9690784473,2023-10-06,MUM,Android,Credit Card,159.02,REF2299VK,,4.38,1,10,2024-02-21
USR000090,Ria Sagar,ria_sagar57@gmail.com,9255562588,2021-11-13,KOL,Android,Wallet,190.93,REF6471SD,,5.0,0,6,2023-06-08
USR000091,Yug Dhaliwal,yug_dhaliwal@wipro.com,9632595327,2023-01-23,JAI,iOS,UPI,82.65,REF1537HR,,4.12,1,7,2024-02-15
USR000092,Maya Tiwari,mayatiwari@yahoo.com,5004797480,2026-06-12,DEL,Android,Debit Card,203.17,REF8774FB,USR000017,4.04,1,11,2026-07-18
USR000093,Jasmit Bath,jasmit.bath@gmail.com,,2021-10-30,LKO,Android,Debit Card,157.81,REF1624UX,,3.98,1,17,2022-08-22
USR000094,Ethan Raju,ethanraju9@hotmail.com,9121655852,2025-06-06,HYD,iOS,UPI,189.38,REF6098MX,USR000007,4.51,1,6,2025-08-09
USR000095,Balvan Devan,balvan.devan8@rediffmail.com,2982595269,2021-08-12,AMD,Android,Cash,179.11,REF3986GC,USR000085,4.62,1,5,2024-07-14
USR000096,Chandani Soman,chandanisoman1997@hotmail.com,6940974993,2023-10-02,AMD,Android,UPI,504.78,REF4958GI,,4.84,0,10,2024-03-01
USR000097,Manbir Kibe,manbirkibe2004@hdfcbank.com,0756263689,2024-05-08,JAI,iOS,Wallet,52.93,REF0972HO,,5.0,0,10,2025-07-22
USR000098,Vanya Vora,vanya_vora1990@outlook.com,8585497334,2023-05-31,AMD,Android,Wallet,126.66,REF7028NJ,,4.86,1,9,2025-12-14
USR000099,Vrinda Nadig,vrinda_nadig@infosys.com,4198665240,2021-11-09,AMD,Android,UPI,319.65,REF8434XS,,3.67,1,11,2022-05-18
USR000100,Tanish Jaggi,tanishjaggi1989@outlook.com,1993308330,2024-02-25,PUNE,Android,Wallet,344.94,REF4157PQ,,4.4,1,10,2026-01-06
USR000101,Abdul Dugar,abduldugar48@infosys.com,4540193802,2024-03-29,JAI,Android,Credit Card,220.78,REF1657GR,,4.36,1,6,2024-11-13
USR000102,Bimala Barad,bimala_barad@gmail.com,1547887287,2023-05-29,JAI,Android,Cash,74.64,REF6206YF,,4.07,0,4,2024-11-26
USR000103,Aarini Grewal,aarini_grewal54@gmail.com,3296685161,2024-03-05,KOL,Android,Credit Card,6.98,REF4315KU,,4.3,0,6,2024-04-05
USR000104,Leela Keer,leelakeer1995@icloud.com,9904530174,2025-01-17,PUNE,Android,UPI,45.91,REF2275PA,USR000097,4.17,1,5,2025-03-08
USR000105,Jhalak Kant,jhalakkant@yahoo.com,7956878339,2022-03-18,JAI,Android,Debit Card,124.63,REF2684SH,,5.0,1,7,2023-10-19
USR000106,Isaac Bhatia,isaac_bhatia@icloud.com,2587139718,2024-05-12,DEL,Android,Credit Card,253.44,REF1878TX,,4.36,1,9,2024-12-14
USR000107,Dalbir Shere,dalbir_shere1992@gmail.com,0391065180,2021-12-26,BLR,iOS,Cash,257.51,REF7072GA,,3.78,1,6,2024-10-15
USR000108,Osha Prasad,osha.prasad52@gmail.com,1825128682,2023-07-31,MUM,iOS,Cash,85.8,REF1704AL,,4.85,1,10,2025-11-05
USR000109,Ladli Karpe,ladlikarpe11@hdfcbank.com,4310690331,2024-06-19,AMD,iOS,UPI,122.22,REF3004DR,,4.84,1,9,2024-10-05
USR000110,Yash Basu,yash_basu2003@gmail.com,3028439599,2022-11-14,BLR,Android,Cash,129.4,REF1907MR,,4.02,1,10,2025-11-04
USR000111,Odika Mital,odikamital1994@infosys.com,2687056856,2021-10-27,CHN,Android,Credit Card,75.3,REF5342QH,,4.49,1,9,2026-01-30
USR000112,Wridesh Kar,wridesh_kar76@tcs.com,8668826343,2026-03-08,LKO,iOS,Debit Card,124.56,REF6246LW,USR000009,4.34,1,7,2026-07-06
USR000113,Charan Loyal,charan.loyal1999@rediffmail.com,1398373540,2023-08-04,AMD,Android,UPI,39.87,REF5175FI,,4.72,0,7,2025-03-13
USR000114,Mekhala Khatri,mekhala.khatri58@hdfcbank.com,8544587717,2024-02-10,DEL,iOS,Cash,303.64,REF3317PS,,4.66,1,7,2025-01-04
USR000115,Madhav Babu,madhav_babu48@rediffmail.com,6423536937,2024-08-16,BLR,Android,Credit Card,138.77,REF5355AC,,4.76,1,6,2025-11-08
USR000116,Triveni Ganguly,triveniganguly@hotmail.com,7280801006,2024-10-22,LKO,Android,Debit Card,172.42,REF8547UP,USR000013,3.83,1,5,2026-05-16
USR000117,Kashvi Bhasin,kashvi.bhasin40@wipro.com,8860084840,2024-09-21,BLR,iOS,Debit Card,211.56,REF2312AN,,4.85,1,13,2025-10-27
USR000118,Wridesh Handa,wridesh.handa44@yahoo.com,1567933410,2025-07-24,BLR,Android,Wallet,297.34,REF8621GH,,4.46,1,8,2025-08-02
USR000119,Aditya Garg,adityagarg1981@hotmail.com,9180339740,2021-10-09,BLR,Android,Debit Card,181.83,REF1666JE,,3.75,1,12,2022-05-04
USR000120,Divya Babu,divya.babu@rediffmail.com,1429396856,2024-06-19,BLR,iOS,Credit Card,33.05,REF1489QC,USR000107,5.0,1,6,2026-05-29
USR000121,Vincent Borra,vincent_borra1991@infosys.com,6504773586,2025-01-13,HYD,iOS,Cash,267.18,REF2185DG,USR000096,3.61,1,6,2026-04-17
USR000122,Yatin Borah,yatin.borah1981@icloud.com,2655110475,2023-08-04,CHN,iOS,Cash,25.37,REF6296FX,,4.68,1,8,2024-06-30
USR000123,Yauvani Reddy,yauvani_reddy12@hotmail.com,8199560466,2024-02-10,MUM,Android,Debit Card,164.53,REF4121LB,USR000021,3.81,1,6,2024-11-15
USR000124,Omkaar Dewan,omkaar.dewan1983@wipro.com,2126464715,2023-04-30,DEL,iOS,Cash,48.75,REF1839HK,,3.82,1,7,2025-06-28
USR000125,Hredhaan Deshmukh,hredhaandeshmukh1994@gmail.com,9657569245,2021-10-27,BLR,Android,Debit Card,198.73,REF4379NM,,4.54,1,8,2024-06-20
USR000126,Bishakha Swaminathan,bishakha_swaminathan@gmail.com,6519398280,2021-02-08,CHN,Android,Credit Card,148.23,REF9375LZ,,4.15,1,11,2025-03-08
USR000127,Xalak Dewan,,6617979688,2024-08-01,LKO,iOS,UPI,308.17,REF7374SE,USR000116,4.32,1,8,2025-12-25
USR000128,Ikbal Kothari,ikbalkothari11@gmail.com,9656101438,2022-05-11,BLR,iOS,Wallet,118.72,REF6805SZ,USR000046,4.79,1,9,2023-09-15
USR000129,Mahika Sheth,mahika_sheth96@gmail.com,1461125457,2024-01-20,JAI,Android,Wallet,282.95,REF8899OC,,4.01,1,5,2024-03-04
USR000130,Sneha Nagar,snehanagar@gmail.com,0512382825,2025-02-10,MUM,iOS,Credit Card,53.59,REF3875EG,USR000087,4.82,1,5,2025-08-08
USR000131,Quincy Sankaran,quincy_sankaran70@gmail.com,7966033419,2025-05-09,AMD,Android,Debit Card,144.86,REF8673ZZ,USR000052,4.58,1,9,2025-05-30
USR000132,Ishaan Lala,ishaan_lala52@rediffmail.com,6969155792,2022-01-27,CHN,iOS,UPI,141.34,REF1825UM,,3.75,1,10,2023-12-07
USR000133,Jacob Khare,jacob_khare1993@gmail.com,2866929662,2022-01-18,AMD,iOS,Debit Card,103.25,REF4991RI,,3.76,1,11,2024-12-16
USR000134,Logan Grover,logan.grover89@icloud.com,5072368876,2022-10-20,MUM,Android,Debit Card,60.93,REF7828KF,,4.34,1,11,2024-07-08
USR000135,Thomas Master,thomasmaster1991@hdfcbank.com,4279788191,2025-11-17,PUNE,iOS,Debit Card,123.38,REF7677KF,,4.33,1,9,2026-06-07
USR000136,Tejas Sandal,tejassandal47@infosys.com,7451713395,2026-05-06,DEL,Android,Cash,151.73,REF4858WC,,4.0,0,9,2026-07-01
USR000137,Samuel Bhargava,samuel_bhargava41@yahoo.com,8254494812,2021-11-11,AMD,iOS,Debit Card,114.94,REF9629IY,,3.7,1,8,2022-04-17
USR000138,Madhav Nagy,madhavnagy1986@outlook.com,9466711684,2021-02-23,BLR,iOS,Cash,205.39,REF6042SI,,4.02,0,5,2024-04-18
USR000139,Tara Parmar,tara.parmar1990@hotmail.com,6374545892,2023-10-03,HYD,Android,Credit Card,95.24,REF5775LA,,4.55,1,8,2025-01-07
USR000140,Amol Dash,amol.dash@gmail.com,6324241541,2024-02-01,JAI,iOS,Debit Card,536.9,REF9750CG,,4.01,1,9,2026-01-29
USR000141,Pushti Chand,pushtichand12@rediffmail.com,1293870051,2025-06-11,BLR,Android,Wallet,4.84,REF5206OT,USR000095,3.8,1,5,2026-02-05
USR000142,Harsh Chauhan,harsh.chauhan1994@tcs.com,6221890927,2025-01-12,AMD,iOS,Wallet,130.16,REF6271OY,,3.61,1,7,2025-03-28
USR000143,Teerth Chadha,teerth.chadha@hotmail.com,6565234138,2025-12-04,JAI,Android,Credit Card,26.47,REF5326NR,,5.0,0,11,2026-07-14
USR000144,Charvi Jha,charvijha1996@gmail.com,3761379180,2022-04-07,PUNE,iOS,UPI,302.21,REF9994XS,USR000142,4.42,1,8,2023-10-21
USR000145,Orinder Sinha,orinder.sinha@wipro.com,0430068486,2024-04-04,BLR,Android,Cash,91.66,REF5526KA,,3.81,1,4,2025-12-14
USR000146,Arunima Chacko,arunimachacko@wipro.com,2856914630,2022-06-27,HYD,iOS,Cash,37.84,REF6618IN,,4.6,1,6,2025-04-11
USR000147,Dayamai Gill,dayamai.gill41@hdfcbank.com,2758842524,2023-07-18,MUM,Android,Credit Card,319.77,REF3161DN,,5.0,1,6,2026-04-04
USR000148,Adya Bose,adya_bose@gmail.com,0792524191,2022-12-09,KOL,Android,Debit Card,418.86,REF1056RH,,4.19,1,9,2023-07-14
USR000149,Urmi Patla,urmipatla@icloud.com,8635365419,2026-04-21,KOL,iOS,Credit Card,106.74,REF3800AP,,4.5,1,14,2026-05-11
USR000150,Nandini Biswas,nandinibiswas@outlook.com,1870534949,2023-08-15,AMD,iOS,Wallet,76.74,REF5180LO,USR000101,4.17,1,13,2026-06-15
USR000151,Yatan Dora,yatan_dora98@gmail.com,8505064138,2025-12-13,AMD,iOS,Cash,131.32,REF3759FX,USR000028,4.9,1,9,2026-04-02
USR000152,Girik Bassi,girikbassi1999@infosys.com,7191826199,2024-03-13,JAI,Android,Debit Card,79.75,REF3670JT,,3.91,1,2,2024-05-27
USR000153,Maya Narain,maya.narain1999@rediffmail.com,1329121277,2026-06-20,MUM,iOS,Debit Card,212.12,REF0623SQ,,3.59,1,10,2026-06-30
USR000154,Siya Morar,siyamorar1990@hotmail.com,2490352135,2021-04-03,DEL,Android,Debit Card,21.63,REF5618WX,,4.02,1,4,2024-03-01
USR000155,Nidhi Sethi,nidhi_sethi3@wipro.com,2100323651,2024-06-16,CHN,iOS,Cash,610.48,REF6804QL,,4.21,1,10,2025-12-13
USR000156,Sachi Dave,sachidave1987@gmail.com,7029667066,2023-05-04,LKO,iOS,UPI,91.79,REF9941BE,,4.54,1,7,2024-10-28
USR000157,Manthan Banerjee,manthan.banerjee25@hotmail.com,8701462638,2021-12-16,JAI,iOS,Credit Card,36.19,REF2532RR,,3.59,0,12,2023-04-26
USR000158,Varsha Sundaram,varsha.sundaram1984@yahoo.com,6420593040,2023-04-26,HYD,iOS,Cash,45.1,REF3806YT,,4.82,1,6,2025-12-16
USR000159,Yug Khosla,yug_khosla2004@wipro.com,9652239559,2024-09-18,AMD,iOS,Debit Card,114.2,REF7859OK,,2.86,1,6,2026-01-01
USR000160,Waida More,waida_more1989@yahoo.com,0393087059,2024-11-20,CHN,iOS,Credit Card,117.4,REF0599JK,,4.25,1,7,2025-09-01
USR000161,Anthony Divan,anthonydivan49@gmail.com,1569154522,2023-09-29,PUNE,iOS,Debit Card,113.38,REF3252ZU,,4.04,1,7,2025-04-11
USR000162,Udant Gill,udant_gill72@gmail.com,2096902959,2022-08-13,MUM,iOS,Wallet,131.89,REF6752TJ,,4.42,1,6,2025-04-20
USR000163,Wazir Palan,wazir_palan43@gmail.com,7043315410,2025-02-26,LKO,Android,Credit Card,142.56,REF3917JV,USR000136,3.63,1,8,2025-06-21
USR000164,Kritika Panchal,kritika_panchal1989@gmail.com,3271040541,2021-10-09,DEL,Android,Wallet,26.42,REF0676KA,,4.88,1,6,2024-06-09
USR000165,Girik Nigam,girik.nigam@rediffmail.com,9620153368,2021-07-03,LKO,Android,Cash,182.71,REF1526KU,,4.65,1,9,2026-04-09
USR000166,Maya Swaminathan,maya_swaminathan1997@icloud.com,6149731032,2022-01-17,CHN,Android,UPI,412.38,REF8444PG,USR000155,3.78,1,6,2022-08-24
USR000167,Urishilla Suresh,urishilla_suresh@hdfcbank.com,2565270477,2021-10-02,JAI,iOS,Debit Card,72.69,REF4171TY,USR000029,4.04,1,10,2023-08-10
USR000168,Frederick Padmanabhan,frederickpadmanabhan42@wipro.com,0686879374,2022-08-28,LKO,Android,Credit Card,127.13,REF4349DJ,,3.93,1,10,2026-03-28
USR000169,Jai Sen,jai_sen1989@hdfcbank.com,2061632945,2026-07-04,BLR,iOS,Debit Card,174.39,REF1608KH,,4.98,1,12,2026-07-04
