driver_id,name,phone,city_id,join_date,license_number,vehicle_id,linked_user_id,rating,total_rides_completed,is_active,background_check_status,weekly_hours_online,acceptance_rate,cancellation_rate
DRV00061,Naksh Krishna,9682506710,CHN,2021-11-13,IN4832385197,VEH00061,,4.36,460,1,Verified,43.0,82.0,9.7
DRV00062,Yauvani Babu,7326819504,KOL,2022-02-02,QG4660016659,VEH00062,,4.14,239,1,Verified,51.0,90.2,6.2
DRV00063,Chavvi Rattan,2213783256,CHN,2021-01-22,BR7482753464,VEH00063,,5.0,541,1,Pending,74.7,80.7,7.3
DRV00064,Vasatika Agate,5776915246,DEL,2021-05-29,NE0195285900,VEH00064,,4.43,633,1,Pending,34.1,81.5,1.1
DRV00065,Zashil Chaudhuri,5236829918,MUM,2025-07-03,QA4373817181,VEH00065,,4.65,575,0,Verified,60.1,90.3,1.2
DRV00066,Liam Solanki,7273728902,LKO,2021-11-12,LO5797475661,VEH00066,,4.09,433,0,Pending,15.9,83.5,4.1
DRV00067,Ayush Bail,7720362515,CHN,2020-12-24,JD5788346564,VEH00067,,4.45,1184,1,Verified,71.7,93.8,1.7
DRV00068,Brinda Pant,4853715354,HYD,2023-09-01,ZT2910686890,VEH00068,,3.92,659,1,Verified,48.5,84.1,7.2
DRV00069,Abeer Batra,8896929130,CHN,2020-10-30,YT7212061052,VEH00069,,4.28,633,0,Verified,30.8,84.2,7.1
DRV00070,Chasmum Goyal,6990798016,AMD,2023-03-04,XA9671069927,VEH00070,,4.33,638,1,Verified,55.4,95.0,5.6
DRV00071,Fitan Sodhi,0011312704,AMD,2026-07-16,TF9372052148,VEH00071,,3.76,723,1,Verified,59.6,70.3,14.7
DRV00072,Aachal Ben,9164492790,HYD,2024-04-04,OZ5597722152,VEH00072,,4.6,682,1,Verified,53.2,83.6,8.7
DRV00073,Vansha Rajan,4409959029,PUNE,2021-01-09,SS4963666937,VEH00073,,4.46,758,1,,20.7,76.6,0.5
DRV00074,Ekanta Lall,0429248758,CHN,2025-03-31,RZ1887633490,VEH00074,,4.12,1375,1,Verified,51.3,88.9,13.4
DRV00075,Samuel Kumar,1851369848,CHN,2023-02-18,ZS5789333312,VEH00075,,4.07,1023,1,Verified,22.0,96.4,6.5
DRV00076,Janani Parmer,0751571259,DEL,2023-05-15,FL0548901039,VEH00076,,4.15,526,1,Rejected,44.1,84.9,3.7
DRV00077,Advika Mammen,9240532610,DEL,2023-11-20,TF0085771961,VEH00077,,4.52,506,1,Verified,34.0,81.4,2.4
DRV00078,Eiravati Kaul,7253320450,CHN,2026-01-20,WA8004870125,VEH00078,,4.39,228,1,Verified,49.5,78.1,14.3
DRV00079,Chanchal Sastry,4615762732,MUM,2022-01-11,XC0730231952,VEH00079,,4.59,514,1,Verified,32.9,91.3,13.2
DRV00080,Lekha Bains,3715253027,HYD,2021-05-13,RK8272466320,VEH00080,,4.24,803,1,Verified,38.5,88.0,3.7
DRV00081,Gaurika Ganesh,7712803874,LKO,2024-10-13,SA1435643316,VEH00081,,4.71,158,1,Verified,51.6,83.0,7.8
DRV00082,Dakshesh Memon,5827084256,LKO,2022-01-14,TL0634922283,VEH00082,,4.0,450,0,Pending,66.0,76.5,7.2
DRV00083,Fariq Chahal,2939430186,JAI,2021-12-23,IQ0855471067,VEH00083,,4.28,548,1,Verified,49.7,70.4,7.6
DRV00084,Yuvraj Grewal,9905878115,DEL,2022-12-29,BH3569041778,VEH00084,,4.02,252,0,Verified,36.5,85.9,12.0
DRV00085,Ansh Kohli,2144800134,KOL,2025-06-23,TL0997837151,VEH00085,,4.44,773,1,Verified,41.4,87.3,14.3
DRV00086,Anjali Dasgupta,4111628933,AMD,2023-05-17,HC2976206699,VEH00086,,4.48,443,0,Verified,55.6,70.9,4.9
DRV00087,Charles Patil,6956805825,JAI,2021-06-12,MG3605182156,VEH00087,,4.57,475,1,Verified,30.1,90.2,11.0
DRV00088,Umang Dewan,0094948091,MUM,2023-05-24,WP4180630414,VEH00088,,4.8,577,1,Verified,35.0,71.6,10.6
DRV00089,Jai Bhasin,8271824694,AMD,2025-12-15,MJ4318479936,VEH00089,,4.15,232,1,Pending,56.5,79.9,12.4
DRV00090,Triveni Mitter,3533886960,DEL,2022-08-22,SD5235857443,VEH00090,,4.69,237,0,Verified,45.3,75.3,12.0
DRV00091,Nathan Bhavsar,6751832655,CHN,2021-11-29,AG2399481742,VEH00091,,5.0,733,0,Verified,16.9,77.2,13.3
DRV00092,Nirja Dalal,6499167745,HYD,2025-11-27,YC4568896507,VEH00092,,4.6,374,1,Verified,46.7,75.4,8.1
DRV00093,Qarin Yadav,6931559353,MUM,2022-08-26,IN6000497484,VEH00093,,4.05,425,1,Verified,18.3,81.1,6.3
DRV00094,Zansi Varughese,0957018316,MUM,2026-02-05,CX5868923676,VEH00094,,4.3,1556,1,Verified,28.1,74.4,9.5
DRV00095,George Garde,4821458628,HYD,2021-04-02,GW4838362099,VEH00095,,4.1,202,1,Verified,33.3,92.7,8.4
DRV00096,Nisha Anne,4619003278,BLR,2026-02-13,JK9488293691,VEH00096,,4.2,1366,1,Verified,48.3,96.5,4.3
DRV00097,Ayush Chaudhry,7960095235,AMD,2024-11-01,NY4204191537,VEH00097,,4.47,878,0,,27.2,84.8,12.2
DRV00098,Chatura Kannan,0933302925,AMD,2024-12-17,RT0746947136,VEH00098,,4.27,329,1,Verified,43.6,88.3,0.9
DRV00099,Odika More,1225620468,PUNE,2020-06-08,WJ5158656116,VEH00099,,3.65,585,1,Verified,50.1,94.2,2.1
DRV00100,Lila Halder,6040523213,HYD,2020-07-19,NU4828773255,VEH00100,,4.33,865,1,Verified,39.6,85.4,9.9
DRV00101,Krisha Joshi,3724979583,LKO,2021-04-09,VX6983218184,VEH00101,,4.63,751,1,Verified,15.9,87.1,2.3
DRV00102,Onveer Narain,2867163234,DEL,2023-08-14,UM6092406123,VEH00102,USR000417,4.13,1205,1,Rejected,64.9,87.3,10.8
DRV00103,Ekansh Pathak,1342645672,PUNE,2022-07-18,WO4205560736,VEH00103,,4.64,1124,1,Verified,59.5,85.1,3.9
DRV00104,Fiyaz Sharma,3527625593,KOL,2022-09-12,MK1241493060,VEH00104,USR002585,4.66,478,1,Verified,64.2,72.1,8.8
DRV00105,Rudra Mitter,4293978469,BLR,2023-08-17,CY5014099031,VEH00105,,4.2,619,1,Verified,30.2,71.3,8.6
DRV00106,Shivansh Pai,3481567587,KOL,2024-04-08,QL8036827308,VEH00106,,4.18,859,1,Verified,62.6,86.7,10.8
DRV00107,Warinder Lad,5613422773,KOL,2023-02-03,KP3087254229,VEH00107,,4.83,656,1,Verified,29.1,78.5,10.9
DRV00108,Jacob Samra,6314057300,BLR,2021-04-04,DK4431471257,VEH00108,,5.0,422,1,Verified,40.8,74.0,7.6
DRV00109,Bimala Ganguly,7159417673,PUNE,2025-06-18,IV8505149431,VEH00109,,3.69,157,1,Verified,67.7,88.5,11.1
DRV00110,Aryan Rana,8214956255,JAI,2021-06-09,KZ3528543001,VEH00110,,4.49,1210,1,Verified,61.9,95.6,6.2
DRV00111,Chandresh Kalita,4991232276,DEL,2025-01-16,YG1077335009,VEH00111,,4.65,350,1,Verified,42.2,71.3,9.3
DRV00112,Luke Mander,5170226407,DEL,2026-01-01,BI9593718587,VEH00112,,4.37,952,1,Verified,55.9,76.8,1.0
DRV00113,Nandini Bumb,9965724580,HYD,2021-06-15,XH3371295896,VEH00113,,3.85,1051,1,Verified,56.5,73.7,0.8
DRV00114,Ridhi Randhawa,3813413847,CHN,2020-08-29,FA3873891899,VEH00114,,3.87,1199,0,Verified,66.6,80.0,0.5
DRV00115,Ria Desai,6823971259,LKO,2025-11-28,TH0630500937,VEH00115,,4.34,1284,0,Pending,27.9,81.4,13.1
DRV00116,Pooja Chahal,2550413588,AMD,2025-06-13,HC5709515859,VEH00116,,4.49,1020,1,Verified,58.3,78.5,3.9
DRV00117,Aachal Pandya,7107114228,MUM,2025-07-18,VJ4629484700,VEH00117,,4.63,494,0,Verified,44.4,97.2,12.4
DRV00118,Yachana Sule,9967276398,LKO,2020-11-01,NK1558342990,VEH00118,,4.17,745,1,Verified,47.7,85.0,11.4
DRV00119,Unni Narula,0597530379,KOL,2021-09-03,KK0224641845,VEH00119,,4.16,998,0,Pending,16.0,78.7,8.3
DRV00120,Bahadurjit Chandran,5432145583,CHN,2022-12-03,PZ5865055785,VEH00120,,4.3,828,1,,25.8,88.7,14.4
DRV00121,Ikshita Dora,6769429124,AMD,2023-07-17,LT4498513919,VEH00121,,3.8,421,1,Pending,49.8,98.3,4.1
DRV00122,Upadhriti Parikh,2448024303,HYD,2026-07-20,UD0673948133,VEH00122,,4.42,329,1,Verified,29.5,98.2,8.1
DRV00123,Chanakya Buch,0348050355,DEL,2022-08-05,ON0769520601,VEH00123,,3.99,427,1,Verified,42.8,84.2,12.1
DRV00124,Warda Ratta,5950695210,KOL,2024-07-26,RL2328155658,VEH00124,,4.38,1246,1,,54.4,79.6,11.7
DRV00125,Ganga Karpe,8784588424,KOL,2024-06-24,NI0871523610,VEH00125,,4.22,437,1,Verified,34.7,83.1,3.5
DRV00126,Darpan Thaker,9522280537,JAI,2021-03-04,EZ7356735010,VEH00126,,4.55,794,1,Verified,37.6,96.8,4.8
DRV00127,Indali Bhasin,6304046335,HYD,2025-08-19,XR3564473927,VEH00127,,3.72,1251,1,Verified,47.5,93.6,11.9
DRV00128,Charita Mandal,3259973903,AMD,2022-07-08,AI5072624012,VEH00128,,4.48,509,1,Pending,64.4,75.4,4.3
DRV00129,Tripti Bhatti,4400274894,BLR,2024-10-29,VP4285127616,VEH00129,USR002437,5.0,1302,0,,31.1,81.5,11.7
DRV00130,Gautami Bali,2893961005,KOL,2020-12-30,RI1117286023,VEH00130,,3.66,990,1,Verified,37.6,84.8,4.5
DRV00131,Xiti Chowdhury,3314204410,PUNE,2021-09-07,PD3806854050,VEH00131,,3.9,1091,1,Verified,27.8,83.8,6.0
DRV00132,Ganga Roy,8662666203,JAI,2025-08-29,YC9849633119,VEH00132,,4.71,548,0,Verified,33.8,75.9,0.6
DRV00133,Nidra Nair,9077859863,PUNE,2025-05-18,QO6516849518,VEH00133,,4.75,1194,1,,49.5,96.7,3.8
DRV00134,Adweta Solanki,9321858382,PUNE,2025-02-16,BH5322720565,VEH00134,,4.76,281,1,Rejected,31.9,83.5,5.7
DRV00135,Mitesh Krishnamurthy,8847146471,PUNE,2023-11-17,QP7728202578,VEH00135,,5.0,854,1,Verified,53.1,93.2,7.7
DRV00136,Harini Raj,0940924845,PUNE,2026-06-28,BY4347187132,VEH00136,,4.3,627,1,Verified,28.9,95.9,2.8
DRV00137,Kamya Bassi,4669453692,DEL,2025-01-08,YZ9395135117,VEH00137,,4.99,335,1,Verified,60.4,82.2,12.0
DRV00138,Watika Bal,7667217672,AMD,2021-02-12,XY8033680485,VEH00138,,4.51,368,1,Verified,48.6,90.9,3.1
DRV00139,Jacob Chana,1713970357,LKO,2024-03-20,MH0869260255,VEH00139,,4.38,1562,1,Rejected,56.3,98.9,1.5
DRV00140,Rachita Chacko,3344146796,PUNE,2023-07-04,QT0284841564,VEH00140,USR002936,4.36,552,1,Verified,45.2,87.9,4.2
DRV00141,Yasti Salvi,6684432038,MUM,2020-09-08,QD5779255378,VEH00141,,4.37,766,1,Verified,47.2,70.4,13.3
DRV00142,Abhiram Walia,0437433997,KOL,2023-03-26,EM6733026102,VEH00142,,4.42,528,1,Verified,32.2,81.1,12.3
DRV00143,Pranit Atwal,3822381713,DEL,2023-10-26,CK1063476202,VEH00143,,3.78,412,1,Verified,54.2,77.7,11.9
DRV00144,Chaaya Kaul,4583236056,PUNE,2025-08-01,VR2438137226,VEH00144,,4.41,668,1,Verified,60.2,73.6,11.7
DRV00145,Ishwar Barad,8147507137,BLR,2023-03-10,XW4499813274,VEH00145,,4.2,540,1,Verified,42.1,87.3,8.6
DRV00146,Charita Bali,2402557735,BLR,2025-03-14,YK5214187181,VEH00146,,4.5,637,1,Verified,45.8,74.2,4.7
DRV00147,Triya Banik,1626951525,MUM,2025-02-19,PH2150742411,VEH00147,,4.49,578,1,Verified,52.7,73.7,1.4
DRV00148,Watika Madan,2980845346,KOL,2025-08-01,DF8323883101,VEH00148,,4.7,442,1,Verified,56.9,82.6,13.7
DRV00149,Veer Chahal,6698149119,MUM,2023-09-17,GC3339803195,VEH00149,,3.94,590,1,Verified,24.5,74.3,14.8
DRV00150,Owen Mitter,2056601328,HYD,2025-05-05,YE2252333510,VEH00150,,4.74,754,1,Verified,45.0,78.8,5.5
DRV00151,Widisha Vora,3056159277,LKO,2022-07-12,TV2440792668,VEH00151,,4.44,411,1,Rejected,24.2,72.3,4.3
DRV00152,Ekansh Krishnan,7837906656,HYD,2021-07-17,MB6135964047,VEH00152,,4.41,1436,1,Verified,69.3,76.4,12.6
DRV00153,Vaishnavi Sahota,2583156790,HYD,2025-06-11,NR4514276831,VEH00153,,4.1,974,1,Verified,2.3,86.6,9.9
DRV00154,Keya Gour,5235964758,HYD,2022-08-05,DK9326800213,VEH00154,,4.18,688,1,Pending,48.9,82.1,11.3
DRV00155,Indira Chaudhuri,1895744546,CHN,2020-06-26,CT8077500186,VEH00155,,4.38,868,0,Verified,55.1,82.2,8.2
DRV00156,Tara Banerjee,4239980629,PUNE,2024-03-24,FT4348068616,VEH00156,,4.25,543,0,Verified,51.8,95.3,8.6
DRV00157,Arunima Naik,8523802482,HYD,2020-07-17,MN4094652447,VEH00157,,3.58,294,1,Verified,54.1,98.2,0.2
DRV00158,Raksha Rau,5674139786,MUM,2022-09-12,RZ2502487861,VEH00158,,4.14,658,0,Verified,42.2,75.3,1.9
DRV00159,Meghana Wagle,0089459543,KOL,2022-02-24,XZ1819614221,VEH00159,,4.03,546,1,Verified,40.2,92.4,6.0
DRV00160,Harita Ratta,2288642351,KOL,2023-08-05,KU6180939663,VEH00160,,4.07,807,1,Verified,63.8,95.8,10.7
DRV00161,Kevin Dora,4064269419,PUNE,2025-01-22,ZF9849334159,VEH00161,,3.91,1016,1,Rejected,33.8,71.9,12.3
DRV00162,Arin Varughese,0727480798,HYD,2024-10-18,VH9008717345,VEH00162,,4.6,178,1,Verified,59.8,76.3,0.8
DRV00163,Tejas Joshi,3208465141,KOL,2021-09-09,IV9166896305,VEH00163,,4.9,388,1,Pending,29.3,86.1,7.1
DRV00164,Ekbal Sridhar,7359316243,BLR,2021-11-15,VY1807334384,VEH00164,,4.18,527,0,Verified,33.6,96.3,8.3
DRV00165,Amol Bhatnagar,8485295541,MUM,2024-07-28,XX0256071512,VEH00165,,5.0,1155,1,Verified,61.0,90.8,14.6
DRV00166,Vedika Butala,1894863540,BLR,2021-03-02,HN3486626220,VEH00166,,4.72,600,0,Verified,44.1,75.1,1.8
DRV00167,Ayaan Andra,9815598773,HYD,2023-10-19,CD0335611923,VEH00167,,4.71,530,0,Rejected,73.3,82.4,12.1
DRV00168,Ekansh Bhagat,7792179613,DEL,2024-10-06,CD3069303130,VEH00168,,4.14,410,0,Verified,49.8,97.1,12.2
DRV00169,Neelima Khosla,6402707112,HYD,2024-12-13,EB2829851860,VEH00169,,4.35,430,1,Verified,33.9,96.2,12.6
DRV00170,Yadavi Yogi,4760830287,DEL,2024-11-24,RG3136191885,VEH00170,,4.82,1647,1,Verified,41.8,96.2,4.3
DRV00171,William Chaudhuri,4427995301,HYD,2020-11-16,KP1019386769,VEH00171,,4.17,620,1,Verified,45.5,89.2,10.5
DRV00172,Fariq Bains,0294742445,PUNE,2021-09-26,RZ0561272795,VEH00172,,4.84,1204,1,Verified,36.0,97.8,7.2
DRV00173,Agastya Sachar,5503518210,KOL,2023-11-15,HD5655181723,VEH00173,,5.0,1372,1,Verified,36.9,93.1,4.7
DRV00174,Nikita Venkataraman,0461297924,AMD,2022-06-03,JP6354013499,VEH00174,,4.21,700,0,Verified,31.1,93.8,11.6
DRV00175,Ekansh Raman,8015128178,LKO,2025-07-22,UG4721446627,VEH00175,,4.71,1099,1,Verified,62.2,86.1,12.9
DRV00176,Hema Naidu,1355490311,PUNE,2025-03-30,YQ2944202710,VEH00176,,3.94,989,1,Verified,38.1,79.1,14.0
DRV00177,Udant Bhatia,2558225455,DEL,2021-11-16,OW2813246033,VEH00177,,4.38,814,0,Verified,26.8,93.5,12.9
DRV00178,Jasmit Khosla,1653407771,DEL,2026-01-25,OB1787161772,VEH00178,,4.42,349,1,Verified,47.4,90.3,6.6
DRV00179,Shaurya Bhardwaj,7946954899,LKO,2021-08-23,VJ7013145773,VEH00179,USR000272,4.26,535,1,Verified,39.1,87.7,7.9
DRV00180,Ekbal Upadhyay,9610680382,BLR,2022-11-23,EZ8531174772,VEH00180,,5.0,1420,0,Verified,34.7,78.7,9.5
DRV00181,Eesha Chaudhari,1774280807,LKO,2023-07-02,VC0837925265,VEH00181,,4.13,738,1,Verified,45.6,79.3,14.8
DRV00182,Qabil Karan,7304723459,AMD,2022-10-02,EX3160205731,VEH00182,,4.2,920,1,Verified,33.9,91.3,7.9
DRV00183,Simon Kalita,7435062560,HYD,2022-06-16,EJ9523029497,VEH00183,,4.7,377,1,Verified,68.2,76.0,3.9
DRV00184,Laksh Lal,6228295023,KOL,2022-04-23,VR6219764932,VEH00184,,3.99,856,1,Verified,61.2,77.5,6.0
DRV00185,Dayita Muni,6094067148,AMD,2026-04-06,IA6106104142,VEH00185,USR001474,4.92,718,1,Verified,58.2,79.4,5.6
DRV00186,Krisha Mital,8958836194,KOL,2024-07-31,SV9624365841,VEH00186,,4.23,851,1,Verified,72.0,71.7,12.6
DRV00187,Urmi Kala,5275361386,MUM,2025-05-17,ON6235567523,VEH00187,,5.0,946,1,Rejected,70.4,74.6,12.7
DRV00188,Isaiah Banik,1797598556,JAI,2023-04-05,PN5270265148,VEH00188,,4.66,2171,1,Pending,25.2,92.1,0.4
DRV00189,Ronith Pingle,9790309868,PUNE,2020-06-08,LQ4010213023,VEH00189,,4.22,966,1,Verified,25.1,95.2,0.1
DRV00190,Anirudh Bajwa,2751855467,KOL,2026-03-01,DS4501424119,VEH00190,,4.42,477,1,Verified,32.3,83.9,5.1
DRV00191,Karan Narasimhan,3980266403,DEL,2020-08-31,YO4171192377,VEH00191,,3.84,479,0,Verified,54.2,98.2,3.7
DRV00192,Urmi Saran,3173486885,JAI,2022-12-06,ML0030384379,VEH00192,,4.71,339,1,Verified,10.5,74.7,13.7
DRV00193,Deepa Lal,7546584095,AMD,2022-03-12,BM1405832237,VEH00193,,4.81,1122,0,Verified,28.6,94.8,3.4
DRV00194,Jagdish Toor,1119667148,MUM,2021-02-16,DG3757658759,VEH00194,,3.43,1269,1,Verified,41.0,92.0,7.8
DRV00195,Gagan Mallick,1790415681,CHN,2020-07-18,UK2610042811,VEH00195,,4.87,1308,0,Pending,45.5,85.4,5.9
DRV00196,Omkaar Khatri,5137811467,LKO,2025-05-23,GG3294763237,VEH00196,,4.01,202,1,Verified,18.2,78.5,6.9
DRV00197,Yug Bala,9552536003,DEL,2020-11-28,RX9504900535,VEH00197,,4.27,363,0,,22.8,95.7,6.4
DRV00198,Kavya Pandit,3069302244,BLR,2021-01-26,WL8566423850,VEH00198,,4.45,1133,1,Verified,57.5,87.3,2.9
